Productos;CAcopios;Clientes;Tiempo;CostoTransAcopioClie
Queso blando;Chinu;Cúcuta;12;1076
Queso blando;Chinu;Medellín;1;775
Queso blando;Chinu;Medellín;2;775
Queso blando;Chinu;Medellín;3;775
Queso blando;Chinu;Medellín;4;775
Queso blando;Chinu;Medellín;5;775
Queso blando;Chinu;Medellín;6;775
Queso blando;Chinu;Medellín;7;775
Queso blando;Chinu;Medellín;8;775
Queso blando;Chinu;Medellín;9;775
Queso blando;Chinu;Medellín;10;775
Queso blando;Chinu;Medellín;11;775
Queso blando;Chinu;Medellín;12;775
Queso blando;Chinu;Valledupar;1;717
Queso blando;Chinu;Valledupar;2;717
Queso blando;Chinu;Valledupar;3;717
Queso blando;Chinu;Valledupar;4;717
Queso blando;Chinu;Valledupar;5;717
Queso blando;Chinu;Valledupar;6;717
Queso blando;Chinu;Valledupar;7;717
Queso blando;Chinu;Valledupar;8;717
Queso blando;Chinu;Valledupar;9;717
Queso blando;Chinu;Valledupar;10;717
Queso blando;Chinu;Valledupar;11;717
Queso blando;Chinu;Valledupar;12;717
Queso blando;Planeta rica;Santa Marta;1;771
Queso blando;Planeta rica;Santa Marta;2;771
Queso blando;Planeta rica;Santa Marta;3;771
Queso blando;Planeta rica;Santa Marta;4;771
Queso blando;Planeta rica;Santa Marta;5;771
Queso blando;Planeta rica;Santa Marta;6;771
Queso blando;Planeta rica;Santa Marta;7;771
Queso blando;Planeta rica;Santa Marta;8;771
Queso blando;Planeta rica;Santa Marta;9;771
Queso blando;Planeta rica;Santa Marta;10;771
Queso blando;Planeta rica;Santa Marta;11;771
Queso blando;Planeta rica;Santa Marta;12;771
Queso blando;Planeta rica;Riohacha;1;1058
Queso blando;Planeta rica;Riohacha;2;1058
Queso blando;Planeta rica;Riohacha;3;1058
Queso blando;Planeta rica;Riohacha;4;1058
Queso blando;Planeta rica;Riohacha;5;1058
Queso blando;Planeta rica;Riohacha;6;1058
Queso blando;Planeta rica;Riohacha;7;1058
Queso blando;Planeta rica;Riohacha;8;1058
Queso blando;Planeta rica;Riohacha;9;1058
Queso blando;Planeta rica;Riohacha;10;1058
Queso blando;Planeta rica;Riohacha;11;1058
Queso blando;Planeta rica;Riohacha;12;1058
Queso blando;Planeta rica;Monteria;1;60
Queso blando;Planeta rica;Monteria;2;60
Queso blando;Planeta rica;Monteria;3;60
Queso blando;Planeta rica;Monteria;4;60
Queso blando;Planeta rica;Monteria;5;60
Queso blando;Planeta rica;Monteria;6;60
Queso blando;Planeta rica;Monteria;7;60
Queso blando;Planeta rica;Monteria;8;60
Queso blando;Planeta rica;Monteria;9;60
Queso blando;Planeta rica;Monteria;10;60
Queso blando;Planeta rica;Monteria;11;60
Queso blando;Planeta rica;Monteria;12;60
Queso blando;Planeta rica;Barranquilla;1;621
Queso blando;Planeta rica;Barranquilla;2;621
Queso blando;Planeta rica;Barranquilla;3;621
Queso blando;Planeta rica;Barranquilla;4;621
Queso blando;Planeta rica;Barranquilla;5;621
Queso blando;Planeta rica;Barranquilla;6;621
Queso blando;Planeta rica;Barranquilla;7;621
Queso blando;Planeta rica;Barranquilla;8;621
Queso blando;Planeta rica;Barranquilla;9;621
Queso blando;Planeta rica;Barranquilla;10;621
Queso blando;Planeta rica;Barranquilla;11;621
Queso blando;Planeta rica;Barranquilla;12;621
Queso blando;Planeta rica;Bogotá;1;1312
Queso blando;Planeta rica;Bogotá;2;1312
Queso blando;Planeta rica;Bogotá;3;1312
Queso blando;Planeta rica;Bogotá;4;1312
Queso blando;Planeta rica;Bogotá;5;1312
Queso blando;Planeta rica;Bogotá;6;1312
Queso blando;Planeta rica;Bogotá;7;1312
Queso blando;Planeta rica;Bogotá;8;1312
Queso blando;Planeta rica;Bogotá;9;1312
Queso blando;Planeta rica;Bogotá;10;1312
Queso blando;Planeta rica;Bogotá;11;1312
Queso blando;Planeta rica;Bogotá;12;1312
Queso blando;Planeta rica;Bucaramanga;1;1139
Queso blando;Planeta rica;Bucaramanga;2;1139
Queso blando;Planeta rica;Bucaramanga;3;1139
Queso blando;Planeta rica;Bucaramanga;4;1139
Queso blando;Planeta rica;Bucaramanga;5;1139
Queso blando;Planeta rica;Bucaramanga;6;1139
Queso blando;Planeta rica;Bucaramanga;7;1139
Queso blando;Planeta rica;Bucaramanga;8;1139
Queso blando;Planeta rica;Bucaramanga;9;1139
Queso blando;Planeta rica;Bucaramanga;10;1139
Queso blando;Planeta rica;Bucaramanga;11;1139
Queso blando;Planeta rica;Bucaramanga;12;1139
Queso blando;Planeta rica;Cartagena;1;428
Queso blando;Planeta rica;Cartagena;2;428
Queso blando;Planeta rica;Cartagena;3;428
Queso blando;Planeta rica;Cartagena;4;428
Queso blando;Planeta rica;Cartagena;5;428
Queso blando;Planeta rica;Cartagena;6;428
Queso blando;Planeta rica;Cartagena;7;428
Queso blando;Planeta rica;Cartagena;8;428
Queso blando;Planeta rica;Cartagena;9;428
Queso blando;Planeta rica;Cartagena;10;428
Queso blando;Planeta rica;Cartagena;11;428
Queso blando;Planeta rica;Cartagena;12;428
Queso blando;Planeta rica;Cali;1;1417
Queso blando;Planeta rica;Cali;2;1417
Queso blando;Planeta rica;Cali;3;1417
Queso blando;Planeta rica;Cali;4;1417
Queso blando;Planeta rica;Cali;5;1417
Queso blando;Planeta rica;Cali;6;1417
Queso blando;Planeta rica;Cali;7;1417
Queso blando;Planeta rica;Cali;8;1417
Queso blando;Planeta rica;Cali;9;1417
Queso blando;Planeta rica;Cali;10;1417
Queso blando;Planeta rica;Cali;11;1417
Queso blando;Planeta rica;Cali;12;1417
Queso blando;Planeta rica;Cúcuta;1;1233
Queso blando;Planeta rica;Cúcuta;2;1233
Queso blando;Planeta rica;Cúcuta;3;1233
Queso blando;Planeta rica;Cúcuta;4;1233
Queso blando;Planeta rica;Cúcuta;5;1233
Queso blando;Planeta rica;Cúcuta;6;1233
Queso blando;Planeta rica;Cúcuta;7;1233
Queso blando;Planeta rica;Cúcuta;8;1233
Queso blando;Planeta rica;Cúcuta;9;1233
Queso blando;Planeta rica;Cúcuta;10;1233
Queso blando;Planeta rica;Cúcuta;11;1233
Queso blando;Planeta rica;Cúcuta;12;1233
Queso blando;Planeta rica;Medellín;1;707
Queso blando;Planeta rica;Medellín;2;707
Queso blando;Planeta rica;Medellín;3;707
Queso blando;Planeta rica;Medellín;4;707
Queso blando;Planeta rica;Medellín;5;707
Queso blando;Planeta rica;Medellín;6;707
Queso blando;Planeta rica;Medellín;7;707
Queso blando;Planeta rica;Medellín;8;707
Queso blando;Planeta rica;Medellín;9;707
Queso blando;Planeta rica;Medellín;10;707
Queso blando;Planeta rica;Medellín;11;707
Queso blando;Planeta rica;Medellín;12;707
Queso blando;Planeta rica;Valledupar;1;882
Queso blando;Planeta rica;Valledupar;2;882
Queso blando;Planeta rica;Valledupar;3;882
Queso blando;Planeta rica;Valledupar;4;882
Queso blando;Planeta rica;Valledupar;5;882
Queso blando;Planeta rica;Valledupar;6;882
Queso blando;Planeta rica;Valledupar;7;882
Queso blando;Planeta rica;Valledupar;8;882
Queso blando;Planeta rica;Valledupar;9;882
Queso blando;Planeta rica;Valledupar;10;882
Queso blando;Planeta rica;Valledupar;11;882
Queso blando;Planeta rica;Valledupar;12;882
